epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,15390.9,0.53205,0.31873,0.96288,0.98292,0.98099,0.9862,0.63949,1.23526,0.4844,1.2038,0.000198206,0.000198206,0.000198206
91,15559.9,0.48468,0.26703,0.92934,0.97999,0.96669,0.98109,0.62887,1.25281,0.51116,1.21196,0.000181703,0.000181703,0.000181703
92,15729.8,0.48451,0.26481,0.92139,0.98692,0.98306,0.98046,0.62943,1.25812,0.4972,1.22203,0.0001652,0.0001652,0.0001652
93,15899.6,0.47817,0.26267,0.9154,0.97397,0.98008,0.98219,0.62714,1.26466,0.48842,1.22496,0.000148696,0.000148696,0.000148696
94,16067.5,0.48104,0.25833,0.91761,0.98797,0.98201,0.98432,0.63743,1.25807,0.50949,1.21619,0.000132193,0.000132193,0.000132193
95,16236.6,0.48137,0.25592,0.91479,0.98491,0.96183,0.98249,0.62729,1.25429,0.49167,1.22053,0.00011569,0.00011569,0.00011569
96,16409.7,0.47235,0.25106,0.91912,0.97009,0.97611,0.9819,0.62814,1.26754,0.53415,1.22133,9.91865e-05,9.91865e-05,9.91865e-05
97,16578.7,0.47129,0.25205,0.91521,0.97001,0.9637,0.98456,0.63834,1.26023,0.54348,1.21545,8.26832e-05,8.26832e-05,8.26832e-05
98,16747.1,0.47475,0.24934,0.91544,0.98177,0.98306,0.98539,0.6385,1.26375,0.50159,1.22352,6.61799e-05,6.61799e-05,6.61799e-05
99,16916.1,0.46938,0.25068,0.91304,0.98777,0.97871,0.98516,0.63744,1.26172,0.50541,1.2203,4.96766e-05,4.96766e-05,4.96766e-05
100,17083.8,0.47368,0.24456,0.91872,0.98764,0.97429,0.98444,0.63286,1.25878,0.50781,1.22214,3.31733e-05,3.31733e-05,3.31733e-05
